"hourdiff"
5
36
6
2
2
4
49
2
11
8
4
5
7
10
3
3
7
6
3
148
15
56
3
6
73
1
108
6
51
5
75
10
7
3
150
4
50
104
7
34
40
4
7
5
13
8
5
17
7
24
127
17
10
10
2
7
7
27
25
66
12
1
35
5
3
32
10
7
9
16
25
33
4
2
34
4
9
9
2
146
8
5
98
59
4
11
11
8
7
83
8
2
12
2
6
7
55
10
13
5
7
11
7
2
8
29
7
3
57
26
7
34
39
62
7
4
64
107
8
2
43
5
8
36
10
85
2
11
6
51
26
65
14
145
8
23
7
3
4
9
3
32
29
2
11
15
229
4
163
31
3
5
54
5
26
45
5
183
6
125
5
30
25
4
18
5
14
3
6
5
25
3
6
2
8
35
146
32
21
8
38
37
6
7
11
8
7
9
11
42
4
6
7
31
5
9
36
343
253
14
8
2
37
24
4
4
52
104
28
14
5
6
23
55
35
42
8
70
3
17
17
6

8
18
83
185
19
6
7
27
44
5
145
23
9
40
13
353
4
5
3
3
5
5
19
101
53
7
6
4
259
8
5
7
17
47
35
12
19
18
4
53
11
9
17
25
11
94
8
8
126
9
31
68
45
7
53
29
5
6
2
45
40
4
147
31
29
6
7
43
3
65
15
7
2
3
4
13
12
80
6
29
6
7
5
9
6
4
7
5
29
7
20
8
12
12
8
3
11
8
17
8
14
30
10
10
4

104
92
2
8
11
4
9
138
6
189
25
49
8
15
3
11
45
43
100
23
14
12
26
8
10
9
4
5
19
7
8
4
8
14
29
4
5
50
7
46
-15
11
15
11
4
10
18
5
5
8
154
4
20
19
24
6
10
6
18
35
15
9
14
16
101
2
27
29
9
30
7
13
8
98
4
48
46
15
36
10
6
28
22
5
72
11
6
97
5
12
13
24
51
19
20
26
16
24
5
2
28
14
16
38
4
8
6
9
9
5
119
22
35
6
94
26
26
7
16
25
107
7
165
17
4
4
29
147
7
76
4

13
70
416
22
5
7
18
8
3
15
6
12
74
78
33
7
5
62
18
6
59
6
360
10
12
6
20
14
7
57
11
7
10
8
12
8
39
34
6
6
32
17
58
63
41
6
18
4
8
6
8
6
21
5
57
8
10
7
12
33
108
188
34
127
9
8
84
4
49
7
2
72
16
7
26
13
12
6
14
10
9
4
134
29
12
4
27
18
31
30
15
5
32
75
106
8

13
41
15
18
11
15
57
6
9
14
9
7
69
6
9
8
7
33
21
22
9
33
151
5
14
33
4
30
8
10
17
11
44
34
10
2
6
19
13
16
12
5
11
15
78
22
32
9
421
34
13
7
22
7
11
103
19
9
5
121
1
10
11
50
11
160
5
37
225
59
16
24
53
36
23
350
7
40
36
15
52
21
6
163
7
7
8
17
128
10
15
6
-11
9
6
4
6
28
31
4
5
5
33
32
6
17
6
105
5
5
349
1
27
16
5
235
13
34
7
13
9
15
15
10
7
17
5
12
7
4
10
104
6
2
13
82
8
13
9
15
9
14
8
2
9
12
7
13
8
12
14
11
36
11
75
6
81
13
29
5
83
15
4
168
4
6
180
12
8

28
5
5
17
12
65
53
52
319
114
8
5
742
23
10
44
16
16
36
9
5
12
2
12
42
4
79
13
14
9
11
39
8
8
25
8
7
10
57
6
73
80
8
52
25
13
23
10
8
29
11
4
11
12
6
60
8
25
5
5
13
18
18
7
31
13
6
74
11
10
6
147
20
18
14
37
8
16
60
11
33
9
34
79
9
38
22
6
7
85
3
22
229
13
12
227
5
13
354

39
43
13
6
57
40
179
18
31
31
22
11
8
134
35
4
41
9
82
10
7
20
35
40
159
3
4
100
85
15
31
176
3
4
53
7
10
15
19
9
7
9
6
60
130
8
96
18
22
1
87
51
15
24
13
25
232
4
22
3
39
123
41
15
8
34
14
10
13
57
24
16
5
59
32
57
4
7
229
47
9
31
35
105
8
15
170
5
28
14
344
9
32
6
26
40
6
8
36
14
24
16
10
36
77
42
6
33
12
15
5
34
19
16
3
11
5
3
-17
22
6
84
8
26
20
83
10
3
14
23
127
9
188
12
18
164
12
28
73
185
23
130
11
24
8
17
34
233
9
12
54
16
104
7
62
11
9
15
14
7
5
18
225
55
11
6
31
6
4
8
13
19
19
6
36
2
52
2
7
9
29
9
31
38
11
28
13
27
32
62
14
16
13
47
18
5
3
27
8
38
337
7
9
20
20
61
12
48

54
6
9
7
19
3
7
25
27
153
81
17
12
13
37
32
1
4
8
81
32
11
4
39
29
28
17
24
9
17
32
12
16
190
7
11
13
7
14
7
20
131
9
12
14
18
33
27
9
14
3
34
195
34
23
8
12
10
23
14
5
91
0
14
